Aspect_Ratio,Circularity,Solidity,Mean_Blue,Mean_Green,Mean_Red,Std_Blue,Std_Green,Std_Red,Label
0.9431859043509528,0.0523309185898747,0.8863818534805634,172.37880783729088,189.72231862371981,196.72388087897176,31.45739252493408,26.137378478209957,24.760857326832006,1
1.6356997971602434,0.08759951283296877,0.8048021859302618,176.72741078139768,189.5857660910483,190.0247480685946,31.218978099281216,27.124102153129144,29.12314745082872,1
1.4523809523809523,0.04852102439285347,0.5534513467411654,200.35684489683445,186.27240257291922,179.03227425114505,38.08920730837304,23.80074769717517,23.20808709722454,1
1.706305543800254,0.09111008683988668,0.6849082577338729,165.9208950629258,191.00232635922944,208.5193765706196,33.18612058028362,27.142230657795164,25.338694414104985,1
1.6160320641282566,0.011431903591645257,0.46661085163934596,164.72221814914724,180.7410301645321,190.65372348642356,31.523377896762412,26.142498436960672,30.549341892954867,1
1.7754293262879788,0.009978064914236405,0.3178733245420316,160.4552058665926,180.0964485477115,191.8478072621332,35.628110245226,29.77965308907404,29.81502475486165,1
0.8546188793538617,0.1682252442622572,0.8429246276730593,173.29372001491137,179.94173163985897,185.41860213384533,30.587156752694167,23.699659634020918,23.749242863496743,1
0.296875,0.05593487356750326,0.8087559074556848,157.74815670071186,175.98540536961582,191.89647394384585,33.17392120031119,25.797383057900586,24.057903694317503,1
0.5244708994708994,0.09074405771376724,0.7481163235428478,173.58742297423,182.84475089717452,184.93143254409168,30.83902218278267,26.7736289813024,27.90984946321478,1
2.4513668150031784,0.02236436546846385,0.5548740365852035,159.69626813150242,186.2809143381369,204.95747329320474,32.76115834769589,28.47355127447646,25.5867873862856,1
1.8929577464788732,0.012273544270604427,0.5578199247561642,175.05859499540904,178.12219019984215,176.23870879518006,23.47068018054983,22.172458517525712,35.589192090513095,1
1.7431906614785992,0.02929724890656187,0.5676698480997867,166.22769573118396,186.04729888422645,200.13018324921828,32.628691001859806,26.415183888688716,25.00420086689739,1
1.5849843587069865,0.07344878399818527,0.8095829866310393,181.6024891013506,191.0630634729352,199.85664456976136,36.36786827302777,23.939284081090243,19.62578875597396,1
2.901979264844486,0.12410361503907313,0.7216350469345938,179.593313874879,199.43436824582233,212.66800988912934,32.876153057929606,25.34583807002165,21.895177209437975,1
1.4273076923076924,0.062215803502654085,0.6418373379846396,170.03630980267832,189.73454519290172,203.28470630050842,32.900186229649776,27.706167681185143,25.921941945154988,1
1.6376929325751421,0.0419852758136727,0.769570823546719,180.66883469202392,186.899859474092,186.0396915087926,30.952970839559057,26.838425705958695,28.167004975448194,1
1.8211382113821137,0.05349732994456047,0.6754285701695001,176.3400483658718,188.48923965972574,191.34063586194583,32.663210146262074,28.349105653116684,27.888119319367462,1
1.8727357176033441,0.06974270593776657,0.7757277396988366,163.65645500495748,177.26095071083498,185.7574984385826,38.42984754575051,38.86805742051089,39.63582552121027,1
1.378217821782178,0.02002328103033758,0.6915619743065888,168.85253060232185,178.25338106924548,181.61139046181262,44.019412592402986,40.959416003365774,40.07221400879932,1
0.34854497354497355,0.06358523702518334,0.664456443073406,160.1275636519465,177.67085900959935,208.32493788532744,31.29113700441414,26.19564903232661,23.75236281491498,1
2.574003795066414,0.012272356824280928,0.6956395383442481,184.74736355219838,199.17273227985723,211.3472205983032,35.05263262767881,30.30532802374918,31.4776668044104,1
2.5127528583992964,0.08211100093986433,0.7057286695860164,175.24087738107562,192.12881306958792,206.5623441593422,31.475645091992774,26.192747801009517,24.344965040186057,1
0.8475228475228476,0.08213487674884248,0.6959916419843336,178.12718395219346,197.20437367731532,208.31204312944772,32.68352314463642,26.94133408460505,24.90690802597941,1
1.723714953271028,0.030643264253289726,0.6884678812939151,170.57236601091984,182.74135000443002,192.53365554094245,35.810601769783254,26.987572928219773,25.643935057211042,1
2.004580152671756,0.05270194615609234,0.6618389968231262,180.36289190429665,189.7576500402511,196.7124056274872,30.952082713961637,25.09483838361903,23.604357778017263,1
2.2387562465297055,0.06945436697812778,0.8213422166327833,147.6247440888786,178.4383604570755,203.83126857027258,20.691422939662647,20.097315819039824,22.305557278458217,1
1.9227467811158798,0.038732636558194554,0.6132681287665382,174.69523413324407,191.23003226103938,201.539051051744,29.75619807203835,24.998151887390133,21.511109878962987,1
1.383665065202471,0.022975198665613678,0.5941631976476057,183.1522171877693,191.86364942563944,196.4105614054864,30.596133227066353,25.38318011501882,24.60902973063155,1
1.936599423631124,0.04070404531941902,0.6199455286957938,178.61002324728113,190.53300434995728,196.05705695583882,31.028927646928576,26.84035018122473,25.24476598125806,1
1.2017224246439218,0.024218430713311985,0.5730680776483217,162.95104670556188,184.28637095367753,198.19536976321663,31.47991438942057,27.830994810709438,27.734770129495647,1
1.1256583897667418,0.09347526701143312,0.8447916078559006,163.85139536379967,179.5611276980888,194.2658111959491,31.837707781772398,19.512397887219624,14.323977467680985,1
0.6621287128712872,0.07791603258602903,0.8123901714727485,184.0382988949866,187.71771421215695,195.04966253724857,35.60827728196172,32.22087792877419,30.77148009967909,1
1.6141429669485012,0.06157715994163401,0.8156627359647418,163.69483065058617,185.3645437286924,202.77195849279798,33.846817054767044,22.988543624540288,17.202331082132336,1
1.0646437994722955,0.016956268177491178,0.4615267574197228,174.486795440152,171.46390384209417,169.28896849271692,42.46874553701519,39.390737478145475,37.409382641996075,1
