Aspect_Ratio,Circularity,Solidity,Mean_Blue,Mean_Green,Mean_Red,Std_Blue,Std_Green,Std_Red,Pink_Ratio,White_Ratio,Redness,Pink_Intensity,Pink_Dominance,Label
1.2495867768595041,0.775723258966829,1.0,136.46171195176876,154.72347473654293,161.7300815241156,49.50671830945349,47.36122793896803,48.0913556212275,0.0,0.15351917509374524,7.006606787572679,1.1765463941032677,-1.5351917509374524,1
2.221487603305785,0.5184526494332904,0.9976368371143484,100.7478440247355,116.57157394137806,121.98931270653098,61.84564790468601,63.94815484461713,57.147242537233836,5.346161195807403e-06,0.09958925032289442,5.417738765152919,1.1989375684154513,-0.9953578871093636,1
2.221487603305785,0.6724049820163024,1.0,104.07442197953561,130.017545995671,147.10357252175433,35.02125917189267,37.921620166406264,42.40118524914593,0.0,0.003044760329059491,17.086026526083344,1.399994116079024,-0.030447603290594913,1
2.221487603305785,0.6724049820163024,1.0,134.62673460798462,157.72999461607415,172.8626688967598,41.53650834395489,43.369937106212696,46.90591313108056,0.0,0.07829946361125752,15.132674280685649,1.2745471561812787,-0.7829946361125751,1
2.221487603305785,0.6724049820163024,1.0,94.77735307621671,115.14849509707464,132.12529461279462,57.98102256517414,58.726089337744305,56.91217450090528,0.0,0.020049002808170527,16.976799515719975,1.379504552685365,-0.20049002808170527,1
2.221487603305785,0.6724049820163024,1.0,95.74716715313306,117.97361862674363,133.58927300603438,55.017463605770764,58.953278142171484,58.879301508678694,8.2054266862904e-07,0.019752923661906882,15.615654379290746,1.3808081098083937,-0.19744718235220593,1
2.221487603305785,0.6724049820163024,1.0,138.19253697691198,154.29904893086712,164.40749048930869,47.43701117903312,48.138355171371096,52.659825532214775,1.23081400294356e-06,0.09966571091680053,10.10844155844157,1.1811516196200889,-0.9965340277677109,1
2.221487603305785,0.6724049820163024,1.0,122.67754848266212,138.51162272071363,146.5469246031746,52.875777477109914,53.5011918031731,57.1021514611024,4.1027133431452e-07,0.09766276626267704,8.03530188246097,1.1849112987853123,-0.976586635493339,1
2.221487603305785,0.6724049820163024,1.0,129.17075571734662,147.18556602278193,158.36581220757358,47.404865867406144,47.82691840692298,50.284472986389716,0.00012390194296298506,0.09556012567431513,11.180246184791656,1.2166005439151772,-0.9432110624468528,1
2.221487603305785,0.6724049820163024,1.0,102.16643914797324,124.26297143513052,141.66915803052166,56.59916786982123,57.07651069540265,55.828666102031185,0.0,0.041000192280498685,17.406186595391134,1.3732097298359147,-0.4100019228049868,1
2.221487603305785,0.6724049820163024,1.0,100.91387085137085,121.51480169661988,141.11493315186496,60.53388800928473,61.66497481813557,58.11154497197306,0.0,0.04745895713950073,19.600131455245076,1.384648939079786,-0.47458957139500735,1
2.221487603305785,0.6724049820163024,1.0,105.48051961716735,126.96659560977743,149.4465902258516,48.520512841785944,47.278373228091574,41.357599143082915,1.3675711143817334e-07,0.03869720252387984,22.479994616074165,1.403511090696791,-0.3869583495276546,1
2.221487603305785,0.6207452309024603,0.9993091030730143,137.53245676922614,150.95405244534885,158.03839304845408,59.70001445034188,57.14601244589823,60.73720693503131,0.0,0.20540668071494592,7.0843406031052325,1.1408040883279926,-2.054066807149459,1
2.221487603305785,0.6724049820163024,1.0,124.40958639424548,140.8451142922734,148.9869663900914,58.43146841882255,60.74132442111905,65.77422559528165,3.145413563077987e-06,0.13569026921184416,8.141852097818003,1.1880030121599043,-1.3565881507621338,1
2.221487603305785,0.6724049820163024,1.0,112.75277969084787,127.30473279876689,132.00964501617912,52.90200763113405,54.872949029955656,59.735144000024405,0.0,0.0720328424938261,4.704912217412229,1.1604959929326468,-0.7203284249382611,1
